Comment,Designator,Footprint,LCSC
1K,R10,R_0402_1005Metric,C11702
2.2uF,"C1,C23",C_0402_1005Metric,C12530
10uF,"C10,C12,C14,C30,C32,C34",C_1206_3216Metric,C13585
1nF,"C16,C17,C36,C37",C_0402_1005Metric,C1523
100nF,C29,C_0402_1005Metric,C1525
1uF,"C28,C8",C_0402_1005Metric,C1538
470pF,"C18,C19,C2,C21",C_0402_1005Metric,C1620
RP2040,U4,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C179173
220nF,"C11,C27,C31,C7",C_0603_1608Metric,C21120
0R,R6,R_0603_1608Metric,C21189
27R,"R11,R3",R_0402_1005Metric,C22859
10K,"R1,R8",R_0402_1005Metric,C25744
22K,"R13,R15",R_0402_1005Metric,C25768
100K,R7,R_0603_1608Metric,C25803
3.3K,R16,R_0402_1005Metric,C25890
27R,"R12,R4",R_0402_1005Metric,C25900
100nF,"C13,C20,C26,C33,C6",C_0805_2012Metric,C28233
USB_C_Receptacle_USB2.0_14P,J3,USB_C_Receptacle_XKB_U262-16XN-4BVC11,C2931474
10uF,"C24,C25,C4,C5",C_0805_2012Metric,C29823
4.7uH,"L1,L2",L_Sunlord_MWSA0603S,C408447
2K,R14,R_0402_1005Metric,C4109
100uF,C3,CP_Elec_8x10,C445063
R010,"R2,R9",R_2818_7146Metric,C511405
AGM310A,Q1,AGM310A,C5367082
Neopixel Side Light SK6812,D2,LED_Neopixel_Side_Light_SK6812,C5378721
5A,F1,Fuse_1206_3216Metric,C553937
SZESD1L001W1T2G,D1,SOT65P210X110-6N,C604764
AMS1117-3.3,"U2,U3",SOT-223-3_TabPin2,C6186
100uF,"C15,C22,C35",CP_Elec_6.3x7.7,C72478
X322512MSB4SI,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
